pair_old,pair_new,scenario,description,tool,tool_version,command_line,note,old_size_B,new_size_B,patch_size_B,compression_factor,reduction_pct,gen_time_s_median,gen_time_s_min,gen_time_s_max,gen_peak_mem_MB,verified,sha256_old,sha256_new,sha256_patch
base,nu-2,NU,comment added to ota.c,detools-crle,0.53.0,detools create_patch -c crle corpus/bins/base.bin corpus/bins/nu-2.bin results/stage1/patches/base_to_nu-2_detools-crle.bin,deployed config — only crle compiled into ESP32 component,952144,952144,109,8735.2661,99.99,1.0502,0.99,1.0737,28.19,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,8bacddea1fa8707ae653ff25e53faa72892a08347b99a3d9e09f70af2b833351,b805ee7d7ec1dd2eb527a0741e8c2c6f9a4709d8899fee6c75b08daf4b16ead2
base,nu-2,NU,comment added to ota.c,detools-none,0.53.0,detools create_patch -c none corpus/bins/base.bin corpus/bins/nu-2.bin results/stage1/patches/base_to_nu-2_detools-none.bin,"differencing only, no compression",952144,952144,952156,1.0,-0.0,0.3567,0.328,0.3805,28.38,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,8bacddea1fa8707ae653ff25e53faa72892a08347b99a3d9e09f70af2b833351,9f1adf2b6332fef3422bd6b5ba0e537fd41c83e7a33dd93746cdfe34f17ca69d
base,nu-2,NU,comment added to ota.c,detools-heatshrink,0.53.0,detools create_patch -c heatshrink corpus/bins/base.bin corpus/bins/nu-2.bin results/stage1/patches/base_to_nu-2_detools-heatshrink.bin,device-deployable candidate (one component-CMakeLists line),952144,952144,14979,63.5653,98.43,0.3275,0.3191,0.3483,28.43,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,8bacddea1fa8707ae653ff25e53faa72892a08347b99a3d9e09f70af2b833351,aaeb3512ec89775851c0e101bdd51da0d7a1eb1fa01e3fa5a20dfa957212c8fa
base,nu-2,NU,comment added to ota.c,detools-lzma,0.53.0,detools create_patch -c lzma corpus/bins/base.bin corpus/bins/nu-2.bin results/stage1/patches/base_to_nu-2_detools-lzma.bin,NOT device-deployable — lzma decompressor absent from ESP32 component,952144,952144,324,2938.716,99.97,0.3679,0.3584,0.4377,46.5,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,8bacddea1fa8707ae653ff25e53faa72892a08347b99a3d9e09f70af2b833351,c752895a96b31492ad28afb87fd1851b5b9af5eb4360ada2ea2dad5c9e102e37
base,nu-2,NU,comment added to ota.c,bsdiff,unknown,bsdiff corpus/bins/base.bin corpus/bins/nu-2.bin results/stage1/patches/base_to_nu-2_bsdiff.bin,classic bsdiff 4.3 (bzip2-internal),952144,952144,314,3032.3057,99.97,0.361,0.3545,0.3916,9.23,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,8bacddea1fa8707ae653ff25e53faa72892a08347b99a3d9e09f70af2b833351,2cf3673785ec92187ac3b3da5b6ecff7cb81f443f9b73670abe8aeda093a0df1
base,nu-2,NU,comment added to ota.c,xdelta3-0,"Xdelta version 3.0.11, Copyright (C) 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2",xdelta3 -e -0 -f -s corpus/bins/base.bin corpus/bins/nu-2.bin results/stage1/patches/base_to_nu-2_xdelta3-0.bin,"VCDIFF, no secondary compression",952144,952144,213,4470.1596,99.98,0.0135,0.0135,0.0159,13.53,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,8bacddea1fa8707ae653ff25e53faa72892a08347b99a3d9e09f70af2b833351,f208c645f3818db36e9731a4150af00f43acb0e2d7fdb3064f95952c61290298
base,nu-2,NU,comment added to ota.c,xdelta3-9,"Xdelta version 3.0.11, Copyright (C) 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2",xdelta3 -e -9 -f -s corpus/bins/base.bin corpus/bins/nu-2.bin results/stage1/patches/base_to_nu-2_xdelta3-9.bin,VCDIFF + max secondary (LZMA) compression,952144,952144,193,4933.3886,99.98,0.1361,0.1281,0.1547,135.57,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,8bacddea1fa8707ae653ff25e53faa72892a08347b99a3d9e09f70af2b833351,c414c53161a122f3472169d00cdb65ea5f198b1134851db15440efc728bdf274
base,nu-2,NU,comment added to ota.c,full,n/a,full OTA (no delta),baseline — ships entire new binary,952144,952144,952144,1.0,0.0,0,0,0,0,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,8bacddea1fa8707ae653ff25e53faa72892a08347b99a3d9e09f70af2b833351,8bacddea1fa8707ae653ff25e53faa72892a08347b99a3d9e09f70af2b833351
base,nu-2,NU,comment added to ota.c,full_gz,gzip-9,gzip -9 <new_binary>,trivial alternative — gzip of full image,952144,952144,609678,1.5617,35.97,0,0,0,0,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,8bacddea1fa8707ae653ff25e53faa72892a08347b99a3d9e09f70af2b833351,11155cf27463b268aeae65ed0ba848502ec953897382033addbf8f2eb6dc6e0d
base,nu-3,NU,OTA success log string changed,detools-crle,0.53.0,detools create_patch -c crle corpus/bins/base.bin corpus/bins/nu-3.bin results/stage1/patches/base_to_nu-3_detools-crle.bin,deployed config — only crle compiled into ESP32 component,952144,952144,9511,100.1098,99.0,1.2957,1.1718,1.3788,27.91,True,972ae65fe1bf9defd2a16cbdb6621b28a5b7404f89ecadaed2e0f7ef3a6dbb8b,613502b745de3a1dbaa9d12444a112906a117d8423ebf0c033480d5c540f07de,aea75e6d564d4eb527624b06589fab2762e2bdec071cf287e4b3b6b470efc2f9
