id,exp_id,recv_utc,dev,fw,seq,t_us,ev,b_flash,b_from,b_patch,calls_r,calls_w,err,flash_kBps,force_full,fw_to,goodput_kBps,heap_free,heap_min,heap_min_during,http,is_delta,ok,part,prev_boot_marker,reset_reason,rssi,rtt_ms,t_app_ms,t_apply_wall_ms,t_boot_app_ms,t_connect_ms,t_decrypt,t_downtime_ms,t_finalize_ms,t_flash,t_from_read,t_http,t_reboot_ms,t_seek,t_total_ms,t_unaccounted_ms,update
1208,MJ_DELTA,1781391372.3420305,esp32-A,s2-base,4,20039861,heartbeat,,,,,,,,,,,150432,139548,,,,,,,,,,,,,,,,,,,,,,,,
1209,MJ_DELTA,1781391382.3325806,esp32-A,s2-base,5,30040476,heartbeat,,,,,,,,,,,140072,137984,,,,,,,,,,,,,,,,,,,,,,,,
1210,MJ_DELTA,1781391386.831025,esp32-A,s2-base,6,34515151,ota_summary,956736,955820,115568,226,29283,956736,75.94,,,37.2,,,137984,,1,1,,,,-66,,,18489,61,1655,62,,693,12598,2311,3107,,0,21979,411,
1211,MJ_DELTA,1781391386.851303,esp32-A,s2-base,7,34550894,ota_reboot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,MJ_DELTA,1781391387.6608794,esp32-A,s2-mj3,0,61102,boot,,,,,,,,,,,,,,,,,ota_0,1,3,,,61,,,,,,,,,,,,,,
1213,MJ_DELTA,1781391407.731459,esp32-A,s2-mj3,1,10059567,heartbeat,,,,,,,,,,,214156,210060,,,,,,,,,,,,,,,,,,,,,,,,
1214,MJ_DELTA,1781391410.695954,esp32-A,s2-mj3,2,12546716,ota_check,,,,,,,,,,,211888,,,200,0,,,,,-65,2234,,,,,,,,,,,,,,,0
1215,MJ_DELTA,1781391410.7091753,esp32-A,s2-mj3,3,20059571,heartbeat,,,,,,,,,,,212688,158548,,,,,,,,,,,,,,,,,,,,,,,,
1216,MJ_DELTA,1781391417.6550367,esp32-A,s2-mj3,4,30059551,heartbeat,,,,,,,,,,,212688,158548,,,,,,,,,,,,,,,,,,,,,,,,
1217,MJ_DELTA,1781391427.6547382,esp32-A,s2-mj3,5,40059551,heartbeat,,,,,,,,,,,212708,158548,,,,,,,,,,,,,,,,,,,,,,,,
