id,exp_id,recv_utc,dev,fw,seq,t_us,ev,b_flash,b_from,b_patch,calls_r,calls_w,err,flash_kBps,force_full,fw_to,goodput_kBps,heap_free,heap_min,heap_min_during,http,is_delta,ok,part,prev_boot_marker,reset_reason,rssi,rtt_ms,t_app_ms,t_apply_wall_ms,t_boot_app_ms,t_connect_ms,t_decrypt,t_downtime_ms,t_finalize_ms,t_flash,t_from_read,t_http,t_reboot_ms,t_seek,t_total_ms,t_unaccounted_ms,update
530,MN_FULL,1781386415.714292,esp32-A,s2-base-full,3,30039851,heartbeat,,,,,,,,,,,212768,158496,,,,,,,,,,,,,,,,,,,,,,,,
531,MN_FULL,1781386425.7140708,esp32-A,s2-base-full,4,40039851,heartbeat,,,,,,,,,,,212768,158496,,,,,,,,,,,,,,,,,,,,,,,,
532,MN_FULL,1781386435.720715,esp32-A,s2-base-full,5,50039918,heartbeat,,,,,,,,,,,212664,156808,,,,,,,,,,,,,,,,,,,,,,,,
533,MN_FULL,1781386445.7183523,esp32-A,s2-base-full,6,60039851,heartbeat,,,,,,,,,,,212788,156808,,,,,,,,,,,,,,,,,,,,,,,,
534,MN_FULL,1781386455.7155566,esp32-A,s2-base-full,7,70039854,heartbeat,,,,,,,,,,,212788,156808,,,,,,,,,,,,,,,,,,,,,,,,
535,MN_FULL,1781386465.7181559,esp32-A,s2-base-full,8,80039946,heartbeat,,,,,,,,,,,212768,156808,,,,,,,,,,,,,,,,,,,,,,,,
536,MN_FULL,1781386475.7137802,esp32-A,s2-base-full,9,90039902,heartbeat,,,,,,,,,,,212768,156808,,,,,,,,,,,,,,,,,,,,,,,,
537,MN_FULL,1781386485.7146347,esp32-A,s2-base-full,10,100039851,heartbeat,,,,,,,,,,,212768,156808,,,,,,,,,,,,,,,,,,,,,,,,
538,MN_FULL,1781386495.7175486,esp32-A,s2-base-full,11,110040365,heartbeat,,,,,,,,,,,212788,156808,,,,,,,,,,,,,,,,,,,,,,,,
539,MN_FULL,1781386505.714363,esp32-A,s2-base-full,12,120039936,heartbeat,,,,,,,,,,,212768,156808,,,,,,,,,,,,,,,,,,,,,,,,
540,MN_FULL,1781386515.7144265,esp32-A,s2-base-full,13,130039855,heartbeat,,,,,,,,,,,212788,156808,,,,,,,,,,,,,,,,,,,,,,,,
541,MN_FULL,1781386525.717599,esp32-A,s2-base-full,14,140039849,heartbeat,,,,,,,,,,,212812,156808,,,,,,,,,,,,,,,,,,,,,,,,
542,MN_FULL,1781386535.7144876,esp32-A,s2-base-full,15,150039917,heartbeat,,,,,,,,,,,212668,156808,,,,,,,,,,,,,,,,,,,,,,,,
543,MN_FULL,1781386545.7133589,esp32-A,s2-base-full,16,160039849,heartbeat,,,,,,,,,,,212792,156808,,,,,,,,,,,,,,,,,,,,,,,,
544,MN_FULL,1781386555.7136579,esp32-A,s2-base-full,17,170039849,heartbeat,,,,,,,,,,,212792,156808,,,,,,,,,,,,,,,,,,,,,,,,
545,MN_FULL,1781386565.724086,esp32-A,s2-base-full,18,180039972,heartbeat,,,,,,,,,,,212788,156808,,,,,,,,,,,,,,,,,,,,,,,,
546,MN_FULL,1781386575.713452,esp32-A,s2-base-full,19,190039851,heartbeat,,,,,,,,,,,212788,156808,,,,,,,,,,,,,,,,,,,,,,,,
547,MN_FULL,1781386585.715515,esp32-A,s2-base-full,20,200039847,heartbeat,,,,,,,,,,,212788,156808,,,,,,,,,,,,,,,,,,,,,,,,
548,MN_FULL,1781386595.7138486,esp32-A,s2-base-full,21,210039849,heartbeat,,,,,,,,,,,212812,156808,,,,,,,,,,,,,,,,,,,,,,,,
549,MN_FULL,1781386605.7177222,esp32-A,s2-base-full,22,220039917,heartbeat,,,,,,,,,,,212792,156808,,,,,,,,,,,,,,,,,,,,,,,,
550,MN_FULL,1781386615.7129316,esp32-A,s2-base-full,23,230039861,heartbeat,,,,,,,,,,,212792,156808,,,,,,,,,,,,,,,,,,,,,,,,
551,MN_FULL,1781386625.7128608,esp32-A,s2-base-full,24,240039849,heartbeat,,,,,,,,,,,212792,156808,,,,,,,,,,,,,,,,,,,,,,,,
552,MN_FULL,1781386635.7151425,esp32-A,s2-base-full,25,250039915,heartbeat,,,,,,,,,,,212788,156808,,,,,,,,,,,,,,,,,,,,,,,,
553,MN_FULL,1781386645.7144263,esp32-A,s2-base-full,26,260039847,heartbeat,,,,,,,,,,,212788,156808,,,,,,,,,,,,,,,,,,,,,,,,
554,MN_FULL,1781386655.7143807,esp32-A,s2-base-full,27,270039847,heartbeat,,,,,,,,,,,212788,156808,,,,,,,,,,,,,,,,,,,,,,,,
555,MN_FULL,1781386665.714236,esp32-A,s2-base-full,28,280039913,heartbeat,,,,,,,,,,,212792,156808,,,,,,,,,,,,,,,,,,,,,,,,
556,MN_FULL,1781386675.7126696,esp32-A,s2-base-full,29,290039785,heartbeat,,,,,,,,,,,212792,156808,,,,,,,,,,,,,,,,,,,,,,,,
