id,exp_id,recv_utc,dev,fw,seq,t_us,ev,b_flash,b_from,b_patch,calls_r,calls_w,err,flash_kBps,force_full,fw_to,goodput_kBps,heap_free,heap_min,heap_min_during,http,is_delta,ok,part,prev_boot_marker,reset_reason,rssi,rtt_ms,t_app_ms,t_apply_wall_ms,t_boot_app_ms,t_connect_ms,t_decrypt,t_downtime_ms,t_finalize_ms,t_flash,t_from_read,t_http,t_reboot_ms,t_seek,t_total_ms,t_unaccounted_ms,update
986,NU_DELTA,1781390157.8523858,esp32-A,s2-mn1,4,20059879,heartbeat,,,,,,,,,,,141828,134812,,,,,,,,,,,,,,,,,,,,,,,,
987,NU_DELTA,1781390167.477524,esp32-A,s2-mn1,5,29655256,ota_summary,955712,955658,65081,128,19002,955712,106.06,,,27.91,,,134812,,1,1,,,,-68,,,13385,60,1810,35,,679,9011,1645,2332,,0,16995,362,
988,NU_DELTA,1781390167.5031195,esp32-A,s2-mn1,6,29690534,ota_reboot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,NU_DELTA,1781390167.8514445,esp32-A,s2-mn1,7,30059943,heartbeat,,,,,,,,,,,148792,134812,,,,,,,,,,,,,,,,,,,,,,,,
990,NU_DELTA,1781390171.278545,esp32-A,s2-base,0,60987,boot,,,,,,,,,,,,,,,,,ota_1,1,3,,,60,,,,,,,,,,,,,,
991,NU_DELTA,1781390181.275842,esp32-A,s2-base,1,10059921,heartbeat,,,,,,,,,,,214148,210024,,,,,,,,,,,,,,,,,,,,,,,,
992,NU_DELTA,1781390184.8243153,esp32-A,s2-base,2,13603295,ota_check,,,,,,,,,,,210660,,,200,1,,,,,-70,3380,,,,,,,,,,,,,,,1
993,NU_DELTA,1781390184.8493924,esp32-A,s2-base,3,13614482,ota_start,,,,,,,,0,s2-nu2,,,158544,,,1,,,,,-70,,,,,,,,,,,,,,,,
994,NU_DELTA,1781390191.2754948,esp32-A,s2-base,4,20059761,heartbeat,,,,,,,,,,,150528,142992,,,,,,,,,,,,,,,,,,,,,,,,
995,NU_DELTA,1781390194.3278828,esp32-A,s2-base,5,23089099,ota_summary,955712,955679,113,1,7472,955712,188.8,,,37.67,,,142992,,1,1,,,,-70,,,5939,61,1668,0,,697,5062,687,3,,0,9474,187,
996,NU_DELTA,1781390194.3433876,esp32-A,s2-base,6,23120407,ota_reboot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,NU_DELTA,1781390195.1335297,esp32-A,s2-nu2,0,61181,boot,,,,,,,,,,,,,,,,,ota_0,1,3,,,61,,,,,,,,,,,,,,
998,NU_DELTA,1781390215.248413,esp32-A,s2-nu2,1,10059936,heartbeat,,,,,,,,,,,213956,210024,,,,,,,,,,,,,,,,,,,,,,,,
999,NU_DELTA,1781390218.481381,esp32-A,s2-nu2,2,12512508,ota_check,,,,,,,,,,,212008,,,200,0,,,,,-67,2290,,,,,,,,,,,,,,,0
1000,NU_DELTA,1781390218.489246,esp32-A,s2-nu2,3,20059920,heartbeat,,,,,,,,,,,212692,159024,,,,,,,,,,,,,,,,,,,,,,,,
1001,NU_DELTA,1781390225.1397262,esp32-A,s2-nu2,4,30059869,heartbeat,,,,,,,,,,,212692,159024,,,,,,,,,,,,,,,,,,,,,,,,
1002,NU_DELTA,1781390235.130115,esp32-A,s2-nu2,5,40059869,heartbeat,,,,,,,,,,,212692,159024,,,,,,,,,,,,,,,,,,,,,,,,
1003,NU_DELTA,1781390242.018874,esp32-A,s2-nu2,6,46939527,ota_check,,,,,,,,,,,210716,,,200,1,,,,,-68,3415,,,,,,,,,,,,,,,1
1004,NU_DELTA,1781390242.0359833,esp32-A,s2-nu2,7,46950722,ota_start,,,,,,,,0,s2-base,,,158700,,,1,,,,,-68,,,,,,,,,,,,,,,,
1005,NU_DELTA,1781390245.1306252,esp32-A,s2-nu2,8,50059833,heartbeat,,,,,,,,,,,181492,158700,,,,,,,,,,,,,,,,,,,,,,,,
1006,NU_DELTA,1781390255.137979,esp32-A,s2-nu2,9,60061153,heartbeat,,,,,,,,,,,150528,145616,,,,,,,,,,,,,,,,,,,,,,,,
1007,NU_DELTA,1781390258.7736394,esp32-A,s2-nu2,10,63679076,ota_summary,955712,955679,113,1,7472,955712,195.72,,,22.6,,,145616,,1,1,,,,-68,,,5762,61,9201,0,65315.4,676,4883,690,5,65254.4,0,16728,184,
1008,NU_DELTA,1781390258.7857492,esp32-A,s2-nu2,11,63710893,ota_reboot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,NU_DELTA,1781390259.5977745,esp32-A,s2-base,0,61111,boot,,,,,,,,,,,,,,,,,ota_1,1,3,,,61,,,,,,,,,,,,,,
1010,NU_DELTA,1781390279.6934025,esp32-A,s2-base,1,10059924,heartbeat,,,,,,,,,,,213936,210016,,,,,,,,,,,,,,,,,,,,,,,,
1011,NU_DELTA,1781390282.4319093,esp32-A,s2-base,2,13276227,ota_check,,,,,,,,,,,212012,,,200,0,,,,,-68,3003,,,,,,,,,,,,,,,0
1012,NU_DELTA,1781390282.4608023,esp32-A,s2-base,3,20059919,heartbeat,,,,,,,,,,,212672,159156,,,,,,,,,,,,,,,,,,,,,,,,
1013,NU_DELTA,1781390289.5947893,esp32-A,s2-base,4,30059863,heartbeat,,,,,,,,,,,212672,159156,,,,,,,,,,,,,,,,,,,,,,,,
1014,NU_DELTA,1781390299.5949192,esp32-A,s2-base,5,40059863,heartbeat,,,,,,,,,,,212672,159156,,,,,,,,,,,,,,,,,,,,,,,,
1015,NU_DELTA,1781390306.0059094,esp32-A,s2-base,6,46466890,ota_check,,,,,,,,,,,210068,,,200,1,,,,,-67,2182,,,,,,,,,,,,,,,1
1016,NU_DELTA,1781390306.0282805,esp32-A,s2-base,7,46478097,ota_start,,,,,,,,0,s2-nu2,,,158484,,,1,,,,,-67,,,,,,,,,,,,,,,,
1017,NU_DELTA,1781390309.5970016,esp32-A,s2-base,8,50060395,heartbeat,,,,,,,,,,,150448,145708,,,,,,,,,,,,,,,,,,,,,,,,
1018,NU_DELTA,1781390315.6287656,esp32-A,s2-base,9,56069522,ota_summary,955712,955679,113,1,7472,955712,188.73,,,37.67,,,145708,,1,1,,,,-67,,,5941,57,1824,0,57732.6,685,5064,689,3,57675.6,0,9591,185,
1019,NU_DELTA,1781390315.6423824,esp32-A,s2-base,10,56100667,ota_reboot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,NU_DELTA,1781390316.4613745,esp32-A,s2-nu2,0,57054,boot,,,,,,,,,,,,,,,,,ota_0,1,3,,,57,,,,,,,,,,,,,,
1021,NU_DELTA,1781390336.5770512,esp32-A,s2-nu2,1,10059943,heartbeat,,,,,,,,,,,213948,210024,,,,,,,,,,,,,,,,,,,,,,,,
1022,NU_DELTA,1781390339.3971813,esp32-A,s2-nu2,2,12422353,ota_check,,,,,,,,,,,212028,,,200,0,,,,,-67,2190,,,,,,,,,,,,,,,0
1023,NU_DELTA,1781390339.4177997,esp32-A,s2-nu2,3,20059923,heartbeat,,,,,,,,,,,212704,159124,,,,,,,,,,,,,,,,,,,,,,,,
1024,NU_DELTA,1781390346.4600189,esp32-A,s2-nu2,4,30059871,heartbeat,,,,,,,,,,,212704,159124,,,,,,,,,,,,,,,,,,,,,,,,
1025,NU_DELTA,1781390356.4596148,esp32-A,s2-nu2,5,40059879,heartbeat,,,,,,,,,,,212704,159124,,,,,,,,,,,,,,,,,,,,,,,,
1026,NU_DELTA,1781390365.4917514,esp32-A,s2-nu2,6,49086019,ota_check,,,,,,,,,,,210076,,,200,1,,,,,-67,5652,,,,,,,,,,,,,,,1
1027,NU_DELTA,1781390365.5227137,esp32-A,s2-nu2,7,49097246,ota_start,,,,,,,,0,s2-base,,,158500,,,1,,,,,-67,,,,,,,,,,,,,,,,
1028,NU_DELTA,1781390366.4603856,esp32-A,s2-nu2,8,50059951,heartbeat,,,,,,,,,,,181432,158500,,,,,,,,,,,,,,,,,,,,,,,,
1029,NU_DELTA,1781390375.8301246,esp32-A,s2-nu2,9,59407012,ota_summary,955712,955679,113,1,7472,955712,194.65,,,37.67,,,145740,,1,1,,,,-67,,,5784,60,2730,0,117941.3,683,4910,690,3,117881.3,0,10309,181,
1030,NU_DELTA,1781390375.846708,esp32-A,s2-nu2,10,59440941,ota_reboot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,NU_DELTA,1781390376.6670444,esp32-A,s2-base,0,60312,boot,,,,,,,,,,,,,,,,,ota_1,1,3,,,60,,,,,,,,,,,,,,
1032,NU_DELTA,1781390396.7772703,esp32-A,s2-base,1,10059923,heartbeat,,,,,,,,,,,213944,210024,,,,,,,,,,,,,,,,,,,,,,,,
1033,NU_DELTA,1781390399.7797842,esp32-A,s2-base,2,12655096,ota_check,,,,,,,,,,,212024,,,200,0,,,,,-68,2432,,,,,,,,,,,,,,,0
1034,NU_DELTA,1781390399.798475,esp32-A,s2-base,3,20059913,heartbeat,,,,,,,,,,,212676,159164,,,,,,,,,,,,,,,,,,,,,,,,
1035,NU_DELTA,1781390406.6647553,esp32-A,s2-base,4,30059861,heartbeat,,,,,,,,,,,212676,159164,,,,,,,,,,,,,,,,,,,,,,,,
1036,NU_DELTA,1781390416.664264,esp32-A,s2-base,5,40059865,heartbeat,,,,,,,,,,,212676,159164,,,,,,,,,,,,,,,,,,,,,,,,
1037,NU_DELTA,1781390422.4451976,esp32-A,s2-base,6,45836593,ota_check,,,,,,,,,,,210076,,,200,1,,,,,-68,2173,,,,,,,,,,,,,,,1
1038,NU_DELTA,1781390422.4661572,esp32-A,s2-base,7,45847809,ota_start,,,,,,,,0,s2-nu2,,,158476,,,1,,,,,-68,,,,,,,,,,,,,,,,
1039,NU_DELTA,1781390426.6781585,esp32-A,s2-base,8,50062717,heartbeat,,,,,,,,,,,150472,145716,,,,,,,,,,,,,,,,,,,,,,,,
1040,NU_DELTA,1781390431.705321,esp32-A,s2-base,9,55078300,ota_summary,955712,955679,113,1,7472,955712,188.88,,,37.67,,,145716,,1,1,,,,-68,,,5930,61,1488,0,173787.7,678,5060,684,3,173726.7,0,9230,183,
