id,exp_id,recv_utc,dev,fw,seq,t_us,ev,b_flash,b_from,b_patch,calls_r,calls_w,err,flash_kBps,force_full,fw_to,goodput_kBps,heap_free,heap_min,heap_min_during,heap_start,heap_total,heap_used,heap_used_pct,http,is_delta,largest_block_min,largest_block_start,mean_bytes_per_write,ok,part,part_size,prev_boot_marker,reset_reason,rssi,rtt_ms,stack_hwm,stack_size,stack_used_pct,t_app_ms,t_apply_wall_ms,t_boot_app_ms,t_connect_ms,t_decrypt,t_downtime_ms,t_finalize_ms,t_flash,t_from_read,t_http,t_reboot_ms,t_seek,t_total_ms,t_unaccounted_ms,update,wear_ratio
236,MN_FULL,1781480443.901259,esp32-A,s3-base-full,1,10049910,heartbeat,,,,,,,,,,,214052,210040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,MN_FULL,1781480446.1451914,esp32-A,s3-base-full,2,12290780,ota_check,,,,,,,,,,,210284,,,,,,,200,1,,,,,,,,,-66,2078,,,,,,,,,,,,,,,,,,1,
238,MN_FULL,1781480447.9126673,esp32-A,s3-base-full,3,12303412,ota_start,,,,,,,,1,s3-mn1-full,,,158524,,,,,,,1,,,,,,,,,-66,,,,,,,,,,,,,,,,,,,,
239,MN_FULL,1781480453.9084249,esp32-A,s3-base-full,4,20050985,heartbeat,,,,,,,,,,,140024,137984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,MN_FULL,1781480463.9014318,esp32-A,s3-base-full,5,30050215,heartbeat,,,,,,,,,,,148592,134716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,MN_FULL,1781480464.1265795,esp32-A,s3-base-full,6,30241807,ota_summary,956128,956016,65185,128,19024,956128,101.87,,,25.35,,,134716,210420,,75704,25.5,,1,110592,110592,50.26,1,,1048576,,,-66,,8092,,34.15,,14041,60,2109,35,,669,9386,1535,2571,,0,17937,514,,16.09
242,MN_FULL,1781480464.1394784,esp32-A,s3-base-full,7,30290530,ota_reboot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,MN_FULL,1781480464.9415514,esp32-A,s3-mn1-full,0,60471,boot,,,,,,,,,,,,,,,296920,,,,,,,,,ota_0,,1,3,,,,12288,,60,,,,,,,,,,,,,,,
244,MN_FULL,1781480484.969998,esp32-A,s3-mn1-full,1,10059986,heartbeat,,,,,,,,,,,214076,210024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,MN_FULL,1781480486.108356,esp32-A,s3-mn1-full,2,12494685,ota_check,,,,,,,,,,,212012,,,,,,,200,0,,,,,,,,,-68,2262,,,,,,,,,,,,,,,,,,0,
246,MN_FULL,1781480486.1128654,esp32-A,s3-mn1-full,3,20060000,heartbeat,,,,,,,,,,,212664,158528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,MN_FULL,1781480494.9358892,esp32-A,s3-mn1-full,4,30059897,heartbeat,,,,,,,,,,,212664,158528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,MN_FULL,1781480504.9362173,esp32-A,s3-mn1-full,5,40059897,heartbeat,,,,,,,,,,,212664,158528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,MN_FULL,1781480510.5542698,esp32-A,s3-mn1-full,6,45674089,ota_check,,,,,,,,,,,210428,,,,,,,200,1,,,,,,,,,-68,2170,,,,,,,,,,,,,,,,,,1,
250,MN_FULL,1781480510.5761786,esp32-A,s3-mn1-full,7,45686276,ota_start,,,,,,,,1,s3-base-full,,,158348,,,,,,,1,,,,,,,,,-68,,,,,,,,,,,,,,,,,,,,
251,MN_FULL,1781480514.9384005,esp32-A,s3-mn1-full,8,50060945,heartbeat,,,,,,,,,,,138004,137928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,MN_FULL,1781480524.9366117,esp32-A,s3-mn1-full,9,60059992,heartbeat,,,,,,,,,,,148740,136136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,MN_FULL,1781480526.9954531,esp32-A,s3-mn1-full,10,62085133,ota_summary,956064,955991,65127,128,19020,956064,104.09,,,38.04,,,136136,210620,,74484,25.09,,1,110592,110592,50.27,1,,1048576,,,-68,,7952,,35.29,,12861,61,1740,38,66770.0,683,9185,1541,1712,66709.0,0,16398,385,,16.1
254,MN_FULL,1781480527.043467,esp32-A,s3-mn1-full,11,62170212,ota_reboot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,MN_FULL,1781480530.8484933,esp32-A,s3-base-full,0,61184,boot,,,,,,,,,,,,,,,296920,,,,,,,,,ota_1,,1,3,,,,12288,,61,,,,,,,,,,,,,,,
256,MN_FULL,1781480550.878447,esp32-A,s3-base-full,1,10059920,heartbeat,,,,,,,,,,,214076,210024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,MN_FULL,1781480552.1594489,esp32-A,s3-base-full,2,12453181,ota_check,,,,,,,,,,,212216,,,,,,,200,0,,,,,,,,,-68,2220,,,,,,,,,,,,,,,,,,0,
