id,exp_id,recv_utc,dev,fw,seq,t_us,ev,b_flash,b_from,b_patch,calls_r,calls_w,err,flash_kBps,force_full,fw_to,goodput_kBps,heap_free,heap_min,heap_min_during,heap_start,heap_total,heap_used,heap_used_pct,http,is_delta,largest_block_min,largest_block_start,mean_bytes_per_write,ok,part,part_size,prev_boot_marker,reset_reason,rssi,rtt_ms,stack_hwm,stack_size,stack_used_pct,t_app_ms,t_apply_wall_ms,t_boot_app_ms,t_connect_ms,t_decrypt,t_downtime_ms,t_finalize_ms,t_flash,t_from_read,t_http,t_reboot_ms,t_seek,t_total_ms,t_unaccounted_ms,update,wear_ratio
472,NU_DELTA,1781481746.5604925,esp32-A,s3-base,1,10049965,heartbeat,,,,,,,,,,,214056,210020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,NU_DELTA,1781481749.176602,esp32-A,s3-base,2,12663233,ota_check,,,,,,,,,,,210076,,,,,,,200,1,,,,,,,,,-69,2400,,,,,,,,,,,,,,,,,,1,
474,NU_DELTA,1781481750.4065325,esp32-A,s3-base,3,12674656,ota_start,,,,,,,,0,s3-nu2,,,158492,,,,,,,1,,,,,,,,,-69,,,,,,,,,,,,,,,,,,,,
475,NU_DELTA,1781481756.5635738,esp32-A,s3-base,4,20050483,heartbeat,,,,,,,,,,,150432,143124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,NU_DELTA,1781481758.697844,esp32-A,s3-base,5,22155879,ota_summary,956144,956111,107,1,7475,956144,183.56,,,35.67,,,143124,210596,,67472,22.72,,1,110592,110592,127.91,1,,1048576,,,-69,,8032,,34.64,,6125,61,1577,0,,677,5209,690,3,,0,9480,223,,9799.78
477,NU_DELTA,1781481758.7106433,esp32-A,s3-base,6,22200500,ota_reboot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,NU_DELTA,1781481759.5107129,esp32-A,s3-nu2,0,61231,boot,,,,,,,,,,,,,,,296920,,,,,,,,,ota_0,,1,3,,,,12288,,61,,,,,,,,,,,,,,,
479,NU_DELTA,1781481779.5402012,esp32-A,s3-nu2,1,10059966,heartbeat,,,,,,,,,,,213956,210024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,NU_DELTA,1781481780.8219137,esp32-A,s3-nu2,2,12467842,ota_check,,,,,,,,,,,212020,,,,,,,200,0,,,,,,,,,-70,2235,,,,,,,,,,,,,,,,,,0,
481,NU_DELTA,1781481780.8268945,esp32-A,s3-nu2,3,20059928,heartbeat,,,,,,,,,,,212680,159180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,NU_DELTA,1781481789.5044923,esp32-A,s3-nu2,4,30059856,heartbeat,,,,,,,,,,,212680,159180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,NU_DELTA,1781481799.5043855,esp32-A,s3-nu2,5,40059856,heartbeat,,,,,,,,,,,212680,159180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,NU_DELTA,1781481805.0516064,esp32-A,s3-nu2,6,45603529,ota_check,,,,,,,,,,,210084,,,,,,,200,1,,,,,,,,,-69,2130,,,,,,,,,,,,,,,,,,1,
485,NU_DELTA,1781481805.0726109,esp32-A,s3-nu2,7,45614948,ota_start,,,,,,,,0,s3-base,,,158484,,,,,,,1,,,,,,,,,-69,,,,,,,,,,,,,,,,,,,,
486,NU_DELTA,1781481809.5046625,esp32-A,s3-nu2,8,50059905,heartbeat,,,,,,,,,,,150464,145484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,NU_DELTA,1781481814.563743,esp32-A,s3-nu2,9,55085823,ota_summary,956144,956111,107,1,7475,956144,185.77,,,35.67,,,145484,210660,,65176,21.95,,1,110592,110592,127.91,1,,1048576,,,-69,,8080,,34.24,,6067,57,1617,0,56749.2,677,5147,692,3,56692.2,0,9470,225,,9799.78
488,NU_DELTA,1781481814.575733,esp32-A,s3-nu2,10,55130462,ota_reboot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,NU_DELTA,1781481815.4028773,esp32-A,s3-base,0,57230,boot,,,,,,,,,,,,,,,296920,,,,,,,,,ota_1,,1,3,,,,12288,,57,,,,,,,,,,,,,,,
490,NU_DELTA,1781481835.4320543,esp32-A,s3-base,1,10059973,heartbeat,,,,,,,,,,,213956,210024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
