component,total_bytes,flash_code,flash_rodata,dram_data,dram_bss,iram
mbedtls,95625,28964,66409,0,252,0
main,5389,5358,23,0,8,0
detools,2179,2179,0,0,0,0
metrics,440,436,0,0,4,0
net80211,158677,121001,16918,878,8196,5403
lwip,104110,96579,3794,12,3713,0
pp,94957,40196,4945,2611,1480,21557
mbedcrypto,87866,79914,7807,32,81,0
pthread,73167,598,72541,8,12,0
wpa_supplicant,65672,62627,1707,8,1322,0
phy,53693,33659,0,584,638,9114
c,47160,43416,2912,260,312,0
freertos,39920,495,1254,3108,741,15607
hal,24445,3388,125,4710,8,5752
esp_hw_support,23199,8693,967,203,105,6514
spi_flash,21920,764,440,1320,24,9026
esp_system,18334,8039,618,480,313,4202
http_parser,15943,15209,734,0,0,0
heap,15933,3155,1568,4,8,5597
nvs_flash,15461,15189,248,0,24,0
vfs,10061,8855,490,320,76,0
mbedx509,8627,8582,45,0,0,0
driver,8205,6971,894,164,12,0
esp_http_client,7804,7513,291,0,0,0
xtensa,6669,119,36,1044,0,1789
bootloader_support,6603,2957,88,0,4,1777
esp_netif,6045,5845,163,4,29,0
esp-tls,6006,5910,92,0,4,0
newlib,5056,1563,95,152,200,1447
esp_wifi,5015,3244,42,484,47,357
esp_timer,4920,1701,129,32,24,1501
esp_mm,4910,2832,262,12,128,832
tcp_transport,3833,3703,130,0,0,0
esp_event,3590,3445,141,0,4,0
json,2801,2769,0,12,8,0
esp_phy,2720,1969,259,16,20,220
esp_ringbuf,2219,0,97,0,0,1061
app_update,2142,2034,96,0,12,0
esp_partition,1933,1736,189,0,8,0
log,1892,921,39,8,272,322
esp_common,1793,51,1742,0,0,0
soc,1737,39,1464,80,0,37
stdc++,1574,1342,207,4,17,0
efuse,1461,1212,125,60,4,0
xt_hal,918,0,32,0,0,443
rtc,918,0,0,0,0,459
esp_rom,546,0,32,0,0,257
esp_app_format,454,184,4,0,10,0
esp_coex,399,163,0,0,0,118
core,327,275,43,0,9,0
gcc,89,89,0,0,0,0
cxx,47,47,0,0,0,0
(exe),17,3,8,0,0,0
nvs_sec_provider,5,5,0,0,0,0
mesh,0,0,0,0,0,0
