timestamp_ms,request_id,duration_ms,billed_ms,mem_size_mb,mem_used_mb,init_ms,cold_start
1781211149182,0ff0f470-695c-47c5-8042-f9b34b2c72fa,302.68,795.0,128,96,492.18,True
1781211151602,3ed775f4-5368-4611-ac15-29f6dfc6d039,46.99,47.0,128,96,,False
1781211155822,11a8c131-ed11-4b5e-85cf-e03068e50df2,37.13,38.0,128,96,,False
1781211160002,e24cd620-290a-43da-8ca6-f2390fd85cb7,47.48,48.0,128,96,,False
1781211163462,6f2678c4-2b72-486e-be65-c5003dfb84a5,72.39,73.0,128,96,,False
1781211166801,7b090e2b-63fc-4b93-8b73-7b622b934a52,34.75,35.0,128,96,,False
1781211171101,011bdd33-49b2-481c-970f-753dd6714497,39.79,40.0,128,96,,False
1781211175182,6dcbb712-a4be-4ea3-b2f2-04c0309eeb13,50.26,51.0,128,96,,False
1781211178642,ceef0018-2b09-4c7e-a73d-ffdf59f3357d,48.44,49.0,128,96,,False
1781211182262,0fc978d5-627b-4b50-93e4-70daa4b6842f,53.13,54.0,128,96,,False
1781211186602,13cb70f0-478f-4a8a-99f0-e51b19da2452,47.5,48.0,128,96,,False
1781211191001,1fa559b2-6380-41f4-9f69-5584dbccef94,54.59,55.0,128,96,,False
1781211194322,07424f82-a742-4995-9703-0d0c0b68ac61,44.59,45.0,128,96,,False
1781211197602,a072d5d1-a9ea-485b-a05b-501eb045f069,48.08,49.0,128,96,,False
1781211201822,56ace15f-992f-445d-bf12-6b4e12a3bfeb,51.37,52.0,128,96,,False
1781211206243,d50d2c86-b2d0-4543-bd7a-9d905b092d7d,53.71,54.0,128,96,,False
1781211209682,2628fd17-3462-4c8a-803b-ca494cffd991,76.03,77.0,128,96,,False
1781211213662,eb416445-99b5-4a2e-85e2-0903b98f68a3,37.27,38.0,128,96,,False
1781211217382,c20934c3-4e69-4825-a588-79d152d6d193,55.99,56.0,128,96,,False
1781211221442,3a7d786a-d007-4d37-be8c-9cfde163ae42,45.17,46.0,128,96,,False
1781211225702,ce465225-fb5f-451c-8180-850afef33e85,50.49,51.0,128,96,,False
1781211229182,9df8a9c2-2ceb-400a-91c3-38ff250a9c7b,34.97,35.0,128,96,,False
1781211233542,5a11d5c9-d7ec-4288-af07-b9c309f4c5d6,58.71,59.0,128,96,,False
1781211237762,9fb0b73e-c16b-4356-a5a6-15ef4a190dc9,53.78,54.0,128,96,,False
1781211241962,e2cc5cc3-aeb6-4319-b745-46ef19ce969f,57.05,58.0,128,96,,False
1781211246242,309bf947-993b-4613-b91b-f51bbe688f17,76.7,77.0,128,96,,False
1781211249642,8aec254f-f4f2-4ea6-8499-09f5efd15962,41.67,42.0,128,96,,False
1781211250662,c0b27527-dce7-4791-8124-735e83e79874,50.61,51.0,128,96,,False
1781211252242,f4e733d0-5c8b-4ca7-a873-d176cf7e32f5,33.31,34.0,128,96,,False
1781212597075,c545361e-5e00-4846-a621-f26bffa1256c,394.74,835.0,128,96,439.54,True
1781212600675,208d37c7-9503-49eb-920c-9630cdc6767f,64.25,65.0,128,96,,False
1781212604715,c7565bb8-35d7-4d7c-8e51-5c80fb2d930c,70.36,71.0,128,96,,False
1781212609075,3074d8bb-0e9d-408c-8868-70ddf06f83f9,75.07,76.0,128,96,,False
1781212612415,6bbd82b7-d97c-4aac-b51a-0f819f963df6,85.56,86.0,128,96,,False
1781212616715,43568795-982e-41a1-8c7e-ec52a84ea37b,79.22,80.0,128,96,,False
1781212620975,84af7452-79e8-442c-857b-632cc57533a5,114.06,115.0,128,96,,False
1781212625175,a98704b3-bc59-4f3d-a221-bee8646e6182,73.91,74.0,128,96,,False
1781212628815,118cc8ae-9109-42a9-90e8-4456f2ec8b8c,80.36,81.0,128,96,,False
1781212632975,1f62809e-0736-4cbc-a6fd-bcf55423ab5d,80.32,81.0,128,96,,False
1781212637275,401d5b0f-807f-4822-aeb7-0ee2cb9b02db,72.29,73.0,128,96,,False
1781212641475,b42c2e56-50e4-453a-903b-1a792d21184f,58.0,59.0,128,96,,False
1781212644915,0f97fe2b-1926-4fff-9ad8-7477e8347d61,59.35,60.0,128,96,,False
1781212649195,e0a83558-1f49-4ec4-a814-f111b68e1873,77.05,78.0,128,96,,False
1781212652555,48d306bd-2f4b-4a69-87e7-9e2bc2ce072f,76.29,77.0,128,96,,False
1781212656975,a1653173-9c96-4c3f-bbf3-2a42cc031c2b,115.0,115.0,128,96,,False
1781212661276,779991d7-fefb-4eff-ba46-38641d79f04e,134.61,135.0,128,96,,False
1781212665395,219bd4a0-ae50-4f68-815b-f974ff36830f,79.58,80.0,128,96,,False
1781212669635,f66f53bc-dc04-42b5-88ad-65990302d24b,55.38,56.0,128,96,,False
1781212673435,d4030f1b-3b22-4927-a3bb-b7324285da88,74.78,75.0,128,96,,False
1781212677335,3242bcfd-612f-44a3-9593-16c549724756,55.4,56.0,128,96,,False
1781212681755,8d91c6bd-5bca-47ad-9d18-296f057d2723,85.44,86.0,128,96,,False
1781212685855,c9fafcc1-06d2-4610-a976-f341b65792b5,81.88,82.0,128,96,,False
1781212690235,7c1c4272-0e0b-458a-ac40-79b78b259f95,61.57,62.0,128,96,,False
1781212694375,1b40483a-9102-41eb-bd6d-c20f47e87aca,63.22,64.0,128,96,,False
1781212698495,91762a21-12e3-487f-a7f2-d358bc858cc3,59.41,60.0,128,96,,False
1781212702795,d21c2443-2f33-45f5-8bf7-1d5aac02b965,73.44,74.0,128,96,,False
1781212705775,f54f56ec-0681-49e4-a864-835a3fe8c5de,93.67,94.0,128,96,,False
1781212707015,9b3b0269-a21a-44e7-b51a-57a5c5ffd6f0,53.89,54.0,128,96,,False
1781212708135,9ed26395-4f04-4969-b378-ec5acdc260a1,73.04,74.0,128,96,,False
1781266019040,daeb0edc-975c-44db-8d1f-c77637d6dcab,348.51,874.0,128,96,524.77,True
1781266020579,80a464cc-38a5-4150-bb3e-98fe96f776ca,60.31,61.0,128,96,,False
1781266023059,33d268d7-3b6b-46c8-be2e-9f7871fb1f93,41.14,42.0,128,96,,False
1781266025660,e0f468d7-b17b-4a8a-ab5f-79729688372e,50.25,51.0,128,96,,False
1781266028999,fd7a7bfb-8d54-47d2-931f-c34a33a3cfcc,48.47,49.0,128,96,,False
1781266031519,0a76881b-565c-4cee-a0c5-a25fe0cb533c,31.51,32.0,128,96,,False
1781266034399,604c24f0-5b04-42bc-8982-b0f4dbe2c8da,42.41,43.0,128,96,,False
1781266036959,5d7ab404-01d4-4fd4-bba0-d3cc25636204,49.46,50.0,128,96,,False
1781266040099,709f621b-d969-4704-a20e-168dc87a43d7,43.26,44.0,128,96,,False
1781266042859,8019b00e-58c2-4f93-86b7-bf3d48b784ae,51.1,52.0,128,96,,False
1781266045299,ab1e603f-db64-48cc-b1cd-cf4f9d2f0839,49.54,50.0,128,96,,False
1781266047859,86c77946-8636-46f4-a15f-2496f366a75a,54.86,55.0,128,96,,False
1781266051139,adf11d6b-2ec5-4578-a1d0-af8b836b8856,53.43,54.0,128,96,,False
1781266054039,ce1fa2dc-fb7b-4706-b32b-9d49a99da0b6,49.98,50.0,128,96,,False
1781266056458,e559262c-814d-45fe-bc68-cb68d1952f22,42.31,43.0,128,96,,False
1781266059700,080113fb-f750-4781-b84f-a306b7277cdc,49.49,50.0,128,96,,False
1781266062399,5a8e527a-8c88-4e92-a428-8d86beeeffac,48.4,49.0,128,96,,False
1781266065019,d3f29cc0-4d5e-4954-a5f8-eb66ee31dee4,42.32,43.0,128,96,,False
1781266067419,a30ad7f9-6bd1-40a8-9be5-e0810b38f9c8,52.21,53.0,128,96,,False
1781266070880,82ed094b-a211-49d6-88f5-3e11712ad69d,52.35,53.0,128,96,,False
1781266074400,0811f956-2fe2-41fd-8e5f-7a0308b71a25,45.97,46.0,128,96,,False
1781266077059,8c839763-465b-4267-878e-e4a937c48aad,58.54,59.0,128,96,,False
1781266080439,0a5ec508-9c02-42e0-b6ab-e59b839b6daf,69.87,70.0,128,96,,False
1781266083680,5cd68c11-ff34-4dc9-a10f-8ec26b33e50b,44.38,45.0,128,96,,False
1781266086379,bf674c3f-1159-41fb-bee9-4370617948a2,35.5,36.0,128,96,,False
1781266089620,8294c29c-7a8a-4f70-a98b-3b5b69de0e36,45.52,46.0,128,96,,False
1781266093239,d0e94c25-7245-4179-b627-15a9c4e1a42f,35.41,36.0,128,96,,False
1781266095559,42ddad89-0c5b-4b09-aae5-ba42483009e3,43.59,44.0,128,96,,False
1781266097439,2d84e3a3-cfac-4b3c-bf9f-52bd76a7703a,54.96,55.0,128,96,,False
1781266098419,7e76b2f6-e3f7-4f94-b5f5-f5a0037d6aa0,40.48,41.0,128,96,,False
1781266099019,8ae72cbf-a4f3-4126-a1f5-8305a1251a9c,34.46,35.0,128,96,,False
1781288595048,d87b3ffc-d79d-4f09-8ca7-d247651f6402,338.18,950.0,128,95,611.1,True
1781288598488,df0a7171-7bd1-49bc-9dbe-5f4bb0938367,59.25,60.0,128,95,,False
1781288602668,b7541213-029f-46b8-a5b5-472e3f434c8b,35.88,36.0,128,95,,False
1781288607628,be814267-9500-42fe-ab9c-cc5dace7606d,46.0,46.0,128,95,,False
1781288612108,faef4acd-38d1-4d29-a10c-4b0f21aa87e4,51.79,52.0,128,95,,False
1781288616248,80fa6d59-1327-49d9-b206-71b5965f7222,53.43,54.0,128,95,,False
1781288621308,57fe18b2-6f7e-4172-b53d-da4f60b2876b,45.69,46.0,128,95,,False
1781288625768,6fa848dc-24d7-445b-8957-08743bd3324f,43.74,44.0,128,95,,False
1781288630608,052e3705-ae79-4b36-9ab0-5a25349077d3,59.38,60.0,128,95,,False
1781288634748,19624e44-48f5-4a6e-a3ac-6b1c8ce03e97,35.33,36.0,128,95,,False
1781288639309,36756dbc-233d-4d37-930b-9bcd11e5427e,50.56,51.0,128,95,,False
1781288643389,2e6c7384-a21c-4229-9f9e-0a8047cd7b66,41.8,42.0,128,95,,False
1781288647808,1ce12be7-9d0e-4fdd-b3b5-8cf076198742,54.46,55.0,128,95,,False
1781288653009,d1776b4f-097f-42fc-8964-354f2eb31231,51.26,52.0,128,95,,False
1781288657088,65c42a9a-a7e6-4abd-9cca-ad5ee3a8a041,99.79,100.0,128,95,,False
1781288661749,356e89f0-858d-4e6c-926a-f4e2689bd9a6,49.69,50.0,128,95,,False
1781288665769,a6260d5b-8b3e-458f-bf0d-c2242871fd98,45.24,46.0,128,95,,False
1781288670809,10ec0bdd-5a99-44b1-ad83-e8cf7da38e4d,47.81,48.0,128,95,,False
1781288674989,2ff178db-42a1-4f03-a113-b3baffe3ca90,41.99,42.0,128,95,,False
1781288679329,fcd65f8d-08c3-4a8c-9071-799637589224,29.85,30.0,128,95,,False
1781288684529,d4ca45b2-692f-4278-9fae-8392cc5a8a64,44.47,45.0,128,95,,False
1781288688869,d12cafc9-991d-42bb-aebb-342adbd08173,47.27,48.0,128,95,,False
1781288693709,97e7a1cd-538d-4659-ba68-b9703e381824,44.64,45.0,128,95,,False
1781288697969,96daeb2a-44e8-4f72-8181-38a394b8b82f,47.88,48.0,128,95,,False
1781288702469,0f45cf30-c719-4efc-83d0-f74ea169b94b,33.57,34.0,128,95,,False
1781288707390,a4f4f1b5-9d45-4322-a6bf-9a7fdaef8311,40.74,41.0,128,95,,False
1781288711830,87a42939-2c93-4487-88de-8120a84217ac,57.91,58.0,128,95,,False
1781288715149,72a85958-e180-4d06-8b5a-da5cbcee4530,106.54,107.0,128,95,,False
1781288718529,c4446925-034d-42d4-a0c3-0b4e1c75e79f,42.53,43.0,128,95,,False
1781288722189,22b57bf5-8253-4554-96b3-b4b8d6ae1782,36.38,37.0,128,95,,False
1781288723049,1dfb9f00-5362-460c-b70c-d035e31acab9,41.94,42.0,128,95,,False
1781288724849,28d430b2-a55d-43eb-bf82-0f73a39f7b76,49.8,50.0,128,95,,False
1781290349161,b28131da-5114-4cdc-9693-6a7ac35a654d,360.94,919.0,128,93,557.75,True
1781290353201,343bbbe5-79da-404d-acc8-54cb4ae229a7,48.9,49.0,128,94,,False
1781290356980,9d22b07e-b853-4866-8523-78d3d237230c,44.65,45.0,128,94,,False
1781290361801,96076147-f71d-43c3-ad8a-11a767a9c75c,47.0,47.0,128,94,,False
1781290366061,282f20ae-3fd9-4403-8e47-71d963052cc3,59.38,60.0,128,94,,False
1781290370403,98919c47-6260-4e8e-ad7a-6b7f5f536ac0,53.23,54.0,128,94,,False
1781290375621,13d16836-ee62-4c52-921e-9e2b2400eea0,45.86,46.0,128,94,,False
1781290379581,5ac5c028-2ad7-45bb-abb0-4a40864cfbe1,34.2,35.0,128,94,,False
1781290383921,7f70442a-b27b-4fd6-8bee-f6388de18846,49.98,50.0,128,94,,False
1781290388241,a6c2979c-729e-4ed6-a46e-1b49e6c71844,57.62,58.0,128,94,,False
1781290392481,d420cc6c-10fe-4717-8ee2-a9a7acfe1cba,58.59,59.0,128,94,,False
1781290396821,d7af8c1a-fb31-40a0-b0a4-fbe8de4c709d,46.61,47.0,128,94,,False
1781290401021,bfeebbbe-d6c1-4826-8dac-08510dc10d12,56.7,57.0,128,94,,False
1781290406102,af07c89b-a099-46dc-a0ae-f1f66cdf6777,44.91,45.0,128,94,,False
1781290410461,1a2f4e68-51d5-4ba6-af8e-736238b780e4,87.09,88.0,128,94,,False
1781290414541,568d6f42-05e6-4590-8fc9-0a07926b0923,55.77,56.0,128,94,,False
1781290418941,c28f5c2e-6bff-4775-8f45-e84934d7e8f1,57.04,58.0,128,94,,False
1781290423321,13b39eb6-e92a-4114-8257-5745f0860457,73.61,74.0,128,94,,False
1781290427542,98011725-969d-4201-a081-fc764d6026fb,42.3,43.0,128,94,,False
1781290431882,238527f8-d552-45ad-9dee-004bc99d23ad,46.68,47.0,128,94,,False
1781290436122,38a7bdc0-68a4-4d42-a1a9-18579aa0fbad,58.2,59.0,128,94,,False
1781290440522,c517fdf9-c5c2-4fac-8794-812d363945ef,55.18,56.0,128,94,,False
1781290445722,3f1907e8-d0db-40de-b359-171213141089,62.84,63.0,128,94,,False
1781290449781,e988f47d-5609-4658-aeb7-ff73eb239baa,52.84,53.0,128,94,,False
1781290454142,0b280c60-ec52-4b10-bd4c-34c27c2b26bb,52.19,53.0,128,94,,False
1781290458582,d6671070-0495-4182-8ab2-6b2d6613cfc8,79.29,80.0,128,94,,False
